Use sort to rank movies in descending order by popularity

Popularity       Title
67              Bedazzled
67              Spartacus
67              Mata Hari
67              Hang 'em High
67              On a Clear Day You Can See Forever
67              A Cry in the Dark
67              Matchmaker, The
67              Hair
67              Man Who Loved Women, The
67              Dangerous When Wet
67              Lost Boys, The
67              Go Tell the Spartans
67              Tartuffe
67              48 Hrs.
67              Experts, The
66              Prize, The
66              Dreams Lost, Dreams Found
66              On Her Majesty's Secret Service
66              Devil's Wanton, The
66              Pepi Luci Bom
66              Fabulous Baker Boys, The
66              Last Metro, The
66              Without Love
66              Law of the Lash
66              Dogfight
66              Number Seventeen
66              Ambassador Bill
66              About Last Night
66              Going Places
66              Crisis
66              In Harm's Way
66              White Hunter, Black Heart
66              Roxanne
66              Women, The
66              Inspiration
66              Firehouse
66              Secrets of Women
66              Crocodile Dundee
66              Killer's Kiss
66              Men Don't Leave
66              Blackboard Jungle, The
66              Baby Face
66              Steel Magnolias
65              Howie Mandel's North American Watusi Tour
65              Willy Wonka & the Chocolate Factory
65              Devil's Disciple, The
65              Tomorrow Is Forever
65              Bad Sleep Well, The
65              Life & Times of Judge Roy Bean, The
65              Mackintosh Man, The
65              Back to the Future II
65              How to Marry a Millionaire
65              Going Ape
65              Women on the Verge of a Nervous Breakdown
65              Fast Times at Ridgemont High
65              Streets of Fire
65              Loulou
65              National Enquirer, The Untold Story
65              All the Right Moves
65              Manxman, The
65              Blue Iguana, The
65              To Joy
64              Through a Glass Darkly
64              Norma Rae
64              Rio Grande
64              Susan Lennox, Her Fall & Rise
64              Apprenticeship of Duddy Kravitz, The
64              Grease II
64              Trip, The
64              Blind Man's Bluff
64              Coma
64              One Woman or Two
64              Sheltering Sky, The
64              Sophie's Choice
64              Firefox
64              Brannigan
64              Major League
64              Doc Hollywood
63              Madonna, Like a Virgin
63              Next of Kin
63              Running Mates
63              Postcards from the Edge
63              Monty Python's Flying Circus, Vol 3.
63              Gosta Berling's Saga
63              Carlton-Browne of the F.O.
63              I Confess
63              My Blue Heaven
63              Boy in Blue, The
63              Juggernaut
63              Ugly American, The
63              Is Paris Burning?
63              Dreamscape
62              Live & Let Die
62              Goalie's Anxiety at the Penalty Kick, The
62              Start the Revolution Without Me
62              Into the Night
62              Audrey Rose
62              Looker
62              Peggy Sue Got Married
62              Outlaw Country
62              Rumor Mill, The
62              Last Picture Show, The
62              Fall of the Roman Empire, The
62              John Cleese on How to Irritate People
62              Adam's Rib
62              Last Ride of the Dalton Gang, The
62              Mama's Dirty Girls
62              Smith!
62              Trip to Bountiful, The
62              Inauguration of the Pleasure Dome
62              Tentacles
62              Arrogant, The
62              Ffolkes
62              Whose Life Is It, Anyway?
62              Seventh Seal, The
62              Everybody's All American
62              Virus
62              Donovan's Reef
62              Cat Ballou
62              Romance
61              Back in the U.S.S.R.
61              Freaks
61              One Crazy Summer
61              Wild Frontier, The
61              Tender Mercies
61              Gremlins 2: The New Batch
61              Falcon & the Snowman, The
61              Death Becomes Her
61              Foreign Correspondent
61              A Little Night Music
61              Giant
61              Hawk of Powder River
61              Fatal Attraction
61              Crazy People
61              Heartbreak Ridge
61              Flying Tigers
61              Storm
61              Private Benjamin
61              A Fistful of Dollars
60              Beguiled, The
60              Cancel My Reservation
60              Clara's Heart
60              Ladies of the Chorus
60              Alfred Hitchcock Presents, Sorcerer's Apprentice
60              After the Fox
60              Funny about Love
60              Necessary Roughness
60              A Child Is Waiting
60              Yojimbo
60              Alien: resurrection
60              Throne of Blood
60              Doors, The
60              Crimson Pirate, The
60              Ten
60              A Nous la Liberte
60              Children's Hour, The
60              Gary Numan - Berzerker
60              Secret Ceremony
60              Only Way Home, The
59              Sound of Music, The
59              Alien Three
59              Conversation, The
59              World According to Garp, The
59              Those Daring Young Men in Their Jaunty
59              J-Men Forever
59              Rashomon
59              Sleeper
59              After School
59              Police Academy 5: Assignment Miami Beach
59              March or Die
59              Reap the Wild Wind
59              Witness
59              Cabaret
59              Born to Ride
59              Rocky Horror Picture Show, The
59              Seizure
59              Gung Ho
58              From the Life of the Marionettes
58              Desperate Hours
58              Smiles of a Summer Night
58              Cowboys, The
58              Pope of Greenwich Village
58              Prisoner of Honor.
58              John Wayne Four Pack
58              Diamond Trap, The
58              Teen Wolf
58              Memoirs of an Invisible Man
57              Voyage in Italy
57              Made in Heaven
57              Cobra
57              Painted Veil, The
57              Lust for Gold
57              Brink of Life
57              Gilda
57              Lady in Question
57              Dear America, Letters Home from Vietnam
57              High Plains Drifter
57              Coogan's Bluff
57              Harry & Son
57              A Month in the Country
57              Bronco Billy
57              Where Eagles Dare
57              Until the End of the World
57              Heartburn
57              Rich & Strange
56              Separate but Equal
56              Somebody up There Likes Me
56              Accidental Tourist, The
56              Best of Eddie Murphy, Saturday Night Live, The
56              Psycho
56              Mummy's Revenge, The
56              Courage
56              Long John Silver
56              Outsiders, The
56              Cannibal Women in the Avocado Jungle of Death
55              Pocket Money
55              Not Without My Daughter
55              Chinatown
55              Tightrope
55              Dracula's Widow
55              Deceived
55              Man of La Mancha
55              Don Juan
55              Scarlet Letter, The
55              Cloak & Dagger
55              Secret Admirer
54              Flame of Barbary Coast
54              Madonna, Truth or Dare
54              Up the Creek
54              America's Music, Blues
54              Island of Dr. Moreau, The
54              Father of the Bride
54              Black Widow
54              Green Glove
54              White Lightning
54              Les Comperes
54              Between Friends
54              Looking for Mr. Goodbar
54              Local Hero
54              Another Forty-Eight Hours
54              Paris Blues
54              Two Nights with Cleo
54              Black Orchid, The
54              Whoopee Boys, The
54              Rawhide, Premiere Episode
54              Ash Wednesday
54              Deadly Trackers
54              A Coeur Joie, (Head Over Heels)
54              Mosquito Coast, The
54              Mummy's Hand, The
53              See You in the Morning
53              Rainbow, The
53              On Wings of Eagles
53              Allegheny Uprising
53              Honeymoon in Vegas
53              Yol
53              Throwback, The
53              High Spirits
53              Paris Trout
53              Miles from Home
53              Brass Target
53              To Die Standing
53              Complete Dirty Harry, Magnum Force, The
53              Protocol
53              A New Life
52              Barbarian & the Geisha, The
52              Mystery of the Hooded Horsemen
52              Silkwood
52              Survivors, The
52              Dial M for Murder
52              Blood Feud
52              Heller in Pink Tights
52              Branford Marsalis, Steep
52              Dark Command
52              Nuts
52              Split Decisions
52              Nobody's Fool
52              Slightly Scarlet
52              Between Two Women
52              Father's Little Dividend
51              Lindbergh Kidnapping Case, The
51              Killing, The
51              Eddie Murphy Raw
51              Lovesick
51              Jack Benny Show
51              Beyond the Limit
51              Flight of the Intruder
51              Brood, The
51              Return of Martin Guerre, The
51              Range Feud, The
51              A Shot in the Dark
51              A Patch of Blue
51              Breathless
51              Lean on Me
51              Northwest Passage
51              Bodycount
51              We're No Angels
51              Desk Set
51              Shirley Valentine
50              Final Analysis
50              Night Tide
50              Catch Twenty-Two
50              Guess Who's Coming to Dinner
50              Racing with the Moon
50              Hombre
50              Rhapsody in August
50              Amarcord
50              Torpedo Run
50              Come Back, Little Sheba
50              Murder
50              Big Bust Out, The
50              Wild Bunch, The
50              Tequila Sunrise
50              Julius Caesar
50              Tin Men
50              Surf Nazis Must Die
50              In Too Deep
50              Secret Agent
50              Soggy Bottom U. S. A.
50              Desert Trail, The
49              Down by Law
49              Seems Like Old Times
49              State of Grace
49              Hard To Kill
49              Vagabond
49              Affair in Trinidad
49              Triumph of the Spirit
49              John Wayne Collection, Red River, The
49              Seven Minutes in Heaven
49              Vampire's Kiss
49              A Woman's Face
49              Autumn Sonata
49              A Man & a Woman: Twenty Years Later
49              What Comes Around
49              Sophia Loren, Her Own Story
49              Metropolis
49              Spies
49              Cool Hand Luke
49              Industrial Symphony, The Dream of the Broken-Hearted
49              PK. & the Kid.
49              Quackser Fortune Has a Cousin in the Bronx
48              Pat & Mike
48              White of the Eye
48              Siesta
48              Rookie, THe
48              Buddy System, The
48              Lucky Texan
48              Network
48              Track Twenty-Nine
48              Big Bands, The
48              One Hundred Rifles
48              Erasure, Live Wild!
48              Duel
48              Fury
48              A Lesson in Love
48              Misery
48              Loves of Carmen, The
47              Chuka
47              Paths of Glory
47              Instant Karma
47              Young Love: Lemon Popsicle Seven
47              Play Misty for Me
47              Attack of the Killer Tomatoes
47              Trick or Treat
47              Water
47              Nadine
47              Alrededor de Medianoche
47              Young Einstein
47              Straight to Hell
47              Meridian
47              Santee
46              Yentl
46              Sun Shines Bright, The
46              Foul Play
46              Paint Your Wagon
46              Fawlty Towers, Gourmet Night, Waldorf Salad & The Kipper & the Corpse
46              A Man & a Woman
46              What's New Pussycat?
46              Last Hurrah, The
45              Macbeth
45              Pale Rider
45              Case of the Mukkinese Battle Horn, The
45              Competition, The
45              Cocoon
45              Spider's Stratagem
45              Back to the Beach
45              Marbella
45              House of the Rising Sun
45              Full Metal Jacket
45              Easy Virtue
45              Conan the Barbarian
45              Under the Sun of Satan
45              Inside Man, The
45              Pleasure Palace
45              Thirty Seconds over Tokyo
45              Maurice
45              Ticket of Leave Man, The
45              All the President's Men
45              How the West Was Won
45              Instant Justice
44              Burglar
44              Cool World
44              Encounters
44              And Now for Something Completely Different
44              Spencer Tracy Legacy, The
44              Hot Pursuit
44              Rebel Rousers
44              Star Wars
44              Dawn Rider, The
44              Hand, The
44              Wings
44              Cimarron
44              Doin' Time on Planet Earth
44              Jane Eyre
44              A View to a Kill
44              Joe Piscopo Video, The
44              Darling
43              Night Train to Katmandu, THe
43              Blood & Guns
43              Courtship of Eddie's Father, The
43              Jet Pilot
43              Young & Innocent
43              Cookie
43              She-Devil
43              West to Glory
43              Power
43              Hustler, The
43              China Syndrome, The
43              Pretty Woman
43              Border Feud
42              Adventures of Sherlock Holmes' Smarter
42              World's Greatest Lover, The
42              Souvenir
42              Hideaways, The
42              Good Father, The
42              Legend
42              Notorious
42              Center of the Web
42              Burbs, The
42              A Guy Named Joe
42              Still of the Night
42              Permanent Record
42              Harvey
42              Wild Strawberries
42              Garden of the Finzi-Continis, The
41              Kings of the Road (In the Course of Time)
41              Desperately Seeking Susan
41              Kissing Place, The
41              Angelic Conversation, The
41              There's a Girl in My Soup
41              Critical Condition
41              Mississippi Burning
41              Innerspace
41              Welcome Home, Roxy Carmichael
41              Castaway
41              Beverly Hills Cop
41              Hard Choices
41              Kitchen Toto, THe
41              Hollywood's Greatest War Movies
41              Nightmare on Elm Street, Pt. 5, The Dream Child
41              Sicilian, The
41              Basic Instinct
41              Man with the Golden Gun, The
41              Kandyland
40              Shadows of the West
40              International Velvet
40              I Love All of You (Je Vous Aime)
40              Stir Crazy
40              Ninotchka
40              Once upon a Wheel
40              Mother Lode
40              Paramount Comedy Theater: Well-Developed
40              Man Who Loved Cat Dancing, The
40              Slumber Party Massacre III
40              Quick & The Dead, The
40              Miami Cops
40              Persuaders, The Overture, The
40              Gold of Naples, The
40              Last of the Red Hot Lovers
40              Wrong Box, The
40              Idiot, The
40              Red Sonja
40              Maximum Overdrive
39              Island of Dr. Moreau, The
39              Maitresse
39              Christopher Columbus: The Discovery
39              Hamlet
39              Ms. Don Juan
39              Rome Adventure
39              Fellow Traveller
39              Rope
39              Official Story, The
39              Tom Jones
39              American Graffiti
39              Judgment at Nuremberg
39              Legal Eagles
39              Monster in the Closet
39              Victory
39              Last of Sheila, The
38              Charly
38              West Side Story
38              Lady from Louisiana
38              Campus Man
38              Heavens Above
38              Blue City
38              Runaway Barge, The
38              James Taylor in Concert
38              Naked Night, The
38              White Sands
37              French Lieutenant's Woman, The
37              Road to Hong Kong
37              Shop on Main Street, The
37              Bloodbath
37              Good Morning, Vietnam
37              That Naughty Girl
37              Beverly Hills Cop II
37              Fuzz
37              Hour of the Wolf
37              Operation Nam
36              Green Berets, The
36              Woman Times Seven
36              Germicide
36              Videodrome
36              Wheel of Fortune
36              Easy Rider
36              Mistress
36              Midway
36              Lilies of the Field
36              Hard Ticket to Hawaii
36              Ikiru
36              Two Mules for Sister Sara
36              From the Hip
36              Unnamable II, The Statement of Randolph Carter, The
36              Secret Policeman's Private Parts, The
36              Bobby Deerfield
36              Under Cover
36              People, The
36              Samson & Delilah
36              Kids & Pesticides
35              Lawless Frontier, The
35              Matt Talbot
35              Final Countdown, The
35              American Friend, The
35              Seventh Cross, The
35              Torn Curtain
35              Au Revoir les Enfants
35              Fighting Seabees, The
35              Sunshine Boys, The
35              Anna Karenina
35              Snow Kill
35              Burnt Offerings
35              Mutiny on the Bounty
35              Too Beautiful for You
35              Return of October
35              Grim Reaper, The
34              Caddyshack 2
34              Yellowbeard
34              Manhunt, The
34              Matador
34              Steve Martin, The Funnier Side of Eastern Canada
34              Dragon Seed
34              Rabid
34              For a Few Dollars More
34              Into the Homeland
34              Ravishing Idiot, The
34              Naked Truth, The
34              Voyage of the Damned
34              Europa Fifty-One
34              Electric Horseman, The
34              Quiller Memorandum, The
33              Casablanca Express
33              All New Tales from the Crypt, A Trilogy
33              Tempest
33              Elena & Her Men
33              Empire Strikes Back, The
33              Midnight Cowboy
33              Scalphunters, The
33              Monty Python's the Meaning of Life
33              Hunchback
33              Napoleon & Samantha
33              Pals of the Saddle
33              Court-Martial of Jackie Robinson, The
33              Producers, The
33              Fly, The
33              One Frightened Night
33              After Dark My Sweet
32              Freshman, The
32              Apache Woman
32              Let It Rock
32              Rachel, Rachel
32              Party, The
32              My Left Foot
32              Shining, The
32              Immaculate Collection, The
32              Camille Claudel
32              Passenger, The
32              Unforgiven, The
32              Terms of Endearment
32              Walpurgis Night
32              Last Temptation of Christ, The
32              Jubal
32              Moonraker
32              Intermezzo
32              Scanners
32              Ironweed
32              Shadow of a Doubt
31              Ranger of the Cherokee Strip
31              North to Alaska
31              Night Gallery
31              Being There
31              Secret Beyond the Door
31              No Regrets for Our Youth
31              Roller Blade
31              Falling in Love
31              Juice
31              Cyborg
31              Stacey!
31              Running Man, The
31              Shock 'em Dead
31              My Best Girl
31              Gangbusters
31              Little Prince, The
31              Bells of St. Mary's, The
31              Think Dirty
30              Wagon Master
30              Chattahoochee
30              Funny Girl
30              Funny Farm
30              Bright Lights, Big City
30              Tom Thumb
30              Riders of Destiny
30              A Very Private Affair
30              Valley Girl
30              John Wayne Matinee Double Feature, No. 1
30              Amazon
30              Going Under
30              Missing
30              Winter People
29              Culpepper Cattle Company, The
29              Ginger & Fred
29              Exorcist II, The Heretic
29              Wait Until Spring Bandini
29              And God Created Woman
29              Fiendish Plot of Dr. Fu Manchu, The
29              Monte Walsh
29              French Lesson
29              Mr. & Mrs. Bridge
29              Spiders
29              Moon in the Gutter, The
29              Saint, The
29              Alamo, The
29              Wings of Eagles, The
29              Money, The
29              Dead Ringers
29              Butch Cassidy & the Sundance Kid
29              Circus World
29              Prom Night III, The Last Kiss
29              Port of Call
29              Police Academy 6: City under Siege
28              After the Shock
28              Neath the Arizona Skies
28              Cousins
28              Trouble with Harry, The
28              Ladykillers, The
28              Sugarland Express, The
28              Father Murphy, A Horse from Heaven
28              Exorcist, The
28              Thirty Is a Dangerous Age, Cynthia
28              Drowning by Numbers
28              Magnum Force
28              QB VII
28              Secret War of Harry Frigg, The
28              Cadillac Man
28              John Wayne Matinee Double Feature, No. 4
28              Last Tango in Paris
28              Patriot Games
28              American Angels: Baptism of Blood, The
28              Elvira Madigan
28              Stewardess School
28              Risky Business
28              Doughnuts & Society
27              Outer Limits, The
27              Human Desire
27              Gardens of Stone
27              Stark
27              Control
27              In Old California
27              Lone Star Trail, The
27              Glory Stompers, The
27              Lady Vanishes
27              Men, The
27              Hollywood Out-Takes & Rare Footage
27              Pet Sematary
27              Dakota
27              Paris, Texas
27              U S. Sub Standard.
27              Silent Movie
27              Spy Who Loved Me, The
26              Only One Night
26              Wild One, The
26              Greatest Story Ever Told, The
26              Woman Who Came Back
26              Return Engagement
26              Naked Obsession
26              Dead Pool, The
26              Long Gray Line, The
26              Great White Death
26              Rocket Gibraltar
26              Maverick, Duel at Sundown
26              Left Handed Gun, The
26              One Eyed Jacks
26              Empire of Spiritual Ninja
26              Partner
26              Freejack
26              Salsa: The Motion Picture
26              Powderkeg
26              Ride in the Whirlwind
25              Hearts of Fire
25              Survival Zone
25              Street People
25              Wrong Arm of the Law, The
25              Raging Bull
25              Philadelphia Story, The
25              Bounty, The
25              Mademoiselle Striptease
25              Gaslight
25              Boy Who Could Fly, The
25              Prizzi's Honor
25              Nothing But Trouble
25              Green Card
25              Rear Window
25              Wisdom
25              Working Girl
25              Today We Kill....Tomorrow We Die
25              Erik the Viking
25              Violent Men, The
25              Crack-Up
25              Wholly Moses!
24              Monty Python's Flying Circus, Vol 1.
24              Postman Always Rings Twice, The
24              Night on Earth
24              Black & White in Color
24              Smallest Show on Earth, The
24              Strange Brew
24              Scream
24              Nineteen Forty-One
24              Fair Game
24              Anastasia
24              Killer Tomatoes Strike Back
24              Savage Intruder, The
24              Bird
24              La Chevre, (The Goat)
24              Seven Sinners
24              A Certain Sacrifice
24              John Wayne Matinee Double Feature, No. 3
24              Final Terror, The
24              Lonely Passion of Judith Hearne, The
24              Quick Change
23              Squeeze, The
23              I Died a Thousand Times
23              Class of 1984
23              Colors
23              On Golden Pond
23              Impulse
23              Shakespeare Series
23              Twins
23              Mannequin
23              Intimate Stranger
23              A Smoky Mountain Christmas
23              I'm All Right Jack
23              Sagebrush Trail
23              All about Eve
23              Hell Town
23              Mystery Train
23              Othello, The Lost Masterpiece
23              Girl from Petrovka, The
23              Barfly
23              Raising Arizona
23              Flying Leathernecks
22              John Wayne Western Greats, Rio Bravo
22              Jerk, The
22              Last Movie, The
22              Bloopers from Star Trek
22              Big Trail, The
22              Wildcats
22              Hollywood Mavericks
22              Escape from Alcatraz
22              Little Women
22              Alice
22              Hellfighters
22              Code Name, Emerald
22              Altered States
22              Desiree
21              Ratings Game, The
21              They Came from Within
21              Rainmaker, The
21              Fighting Vigilantes, The
21              Orphans
21              Boys Town
21              Second Coming of Suzanne., The
21              Wild Geese, The
21              Super Duper Bloopers
21              My Life As a Dog
21              Elizabeth Taylor Collection, The
21              My Country Right or Wrong
20              Masculine Feminine
20              A Stolen Life
20              Picasso Trigger
20              Puppet Master
20              Children of a Lesser God
20              Best of the Big Laff Off, The
20              Vincent, Francois, Paul & the Others
20              Wait Until Spring, Bandini
20              Mission, The
20              La Dolce Vita
20              Purple Rose of Cairo, The
20              Gotta Dance, Gotta Sing
20              A Man for All Seasons
20              Like Father Like Son
20              Endless Love
20              Devil's Eye, The
20              North by Northwest
20              King Kong Lives!
20              Steppenwolf
20              Roadhouse Sixty-Six
19              Sayonara
19              Flatliners
19              Skull
19              Flashback
19              Crashing Thru
19              Dollar
19              Hot Money
19              Quintet
19              Manhunter
19              Stand & Deliver
19              Shadow of the Eagle, The
19              Adventures in Dinosaur City
